id,genre,artist,song,year,youtube search
1110,Prehistoric,Fornnordiska klanger,The Sounds of Prehistoric Scandinavia,(3'000'000 BC - 5'000 BC),https://www.youtube.com/results?search_query=Fornnordiska%20klanger-The%20Sounds%20of%20Prehistoric%20Scandinavia
1100,Sumerian,Various,Sounds From Silence - Recent Discoveries in Ancient Near Eastern Music,(1800 BC - 1400 BC),https://www.youtube.com/results?search_query=Various-Sounds%20From%20Silence%20-%20Recent%20Discoveries%20in%20Ancient%20Near%20Eastern%20Music
1101,Ancient,Ensemble De Organographia,"Music of the Ancient Sumerians, Egyptians & Greeks",(1950 BC - 400 AD),https://www.youtube.com/results?search_query=Ensemble%20De%20Organographia-Music%20of%20the%20Ancient%20Sumerians%2C%20Egyptians%20%26amp%3B%20Greeks
1102,Ancient Chinese,Various,Ancient Music from Chang An,(),https://www.youtube.com/results?search_query=Various-Ancient%20Music%20from%20Chang%20An
1103,Hyang_ak,Various,Corée Jongmyo Jeryeak - Musique rituelle pour les ancêtres royaux,(50 BC - 650 AD),https://www.youtube.com/results?search_query=Various-Cor%C3%A9e%20Jongmyo%20Jeryeak%20-%20Musique%20rituelle%20pour%20les%20anc%C3%AAtres%20royaux
1104,Ancient Japanese,Toshiyuki Tsuchitori,Dōtaku - Ancient Japanese Bronze Bells From Yayoi Period,(400 BC - 25 AD),https://www.youtube.com/results?search_query=Toshiyuki%20Tsuchitori-D%C5%8Dtaku%20-%20Ancient%20Japanese%20Bronze%20Bells%20From%20Yayoi%20Period
1105,Ancient Egyptian,Soliman Gamil,A Map of Egypt Before the Sands,(3100 BC - 350 BC),https://www.youtube.com/results?search_query=Soliman%20Gamil-A%20Map%20of%20Egypt%20Before%20the%20Sands
1106,Ancient Greek,Gregorio Paniagua,Musique de la Grèce antique,(800 BC - 600 AD),https://www.youtube.com/results?search_query=Gregorio%20Paniagua-Musique%20de%20la%20Gr%C3%A8ce%20antique
1107,Ancient Roman,Musica Romana,Symphonia Panica,(750 BC - 450 AD),https://www.youtube.com/results?search_query=Musica%20Romana-Symphonia%20Panica
1108,Biblical Psalms,Suzanne Haïk Vantoura,La Musique De La Bible Révélée,(900 BC - 500 BC),https://www.youtube.com/results?search_query=Suzanne%20Ha%C3%AFk%20Vantoura-La%20Musique%20De%20La%20Bible%20R%C3%A9v%C3%A9l%C3%A9e
1109,Byzantine Chant,Marcel Pérès,Chants de l'Eglise de Rome Période Byzantine,(600 AD - 800 AD),https://www.youtube.com/results?search_query=Marcel%20P%C3%A9r%C3%A8s-Chants%20de%20l%26%23x27%3BEglise%20de%20Rome%20P%C3%A9riode%20Byzantine
0,Akan,Various,The Baoule of the Ivory Coast,(1956),https://www.youtube.com/results?search_query=Various-The%20Baoule%20of%20the%20Ivory%20Coast
1,Dagomba,Various,Music of the Dagomba From Ghana,(1978),https://www.youtube.com/results?search_query=Various-Music%20of%20the%20Dagomba%20From%20Ghana
2,Ewe,Various,Ewe Music of Ghana,(1969),https://www.youtube.com/results?search_query=Various-Ewe%20Music%20of%20Ghana
3,Zinli,Gouton Tosse,Gouton Tosse et son groupe folklorique de Lotin_gbedjewin Benin,(NA),https://www.youtube.com/results?search_query=Gouton%20Tosse-Gouton%20Tosse%20et%20son%20groupe%20folklorique%20de%20Lotin_gbedjewin%20Benin
4,Tchinkoumé,Sezonmon Alosse,Sezonmon Alosse,(1977),https://www.youtube.com/results?search_query=Sezonmon%20Alosse-Sezonmon%20Alosse
5,Gumbe,Super Mama Djombo,Super Mama Djombo,(2003),https://www.youtube.com/results?search_query=Super%20Mama%20Djombo-Super%20Mama%20Djombo
6,Highlife,E.T. Mensah,Day by Day - Classic Highlife,(1950-1969),https://www.youtube.com/results?search_query=E.T.%20Mensah-Day%20by%20Day%20-%20Classic%20Highlife
7,Kabye Folk,Various,Togo - Musique Kabiye,(1960),https://www.youtube.com/results?search_query=Various-Togo%20-%20Musique%20Kabiye
8,Mande,Various,In Griot Time - String Music From Mali,(2000),https://www.youtube.com/results?search_query=Various-In%20Griot%20Time%20-%20String%20Music%20From%20Mali
9,Songhai,Various,Folk Music of The Sahel - Volume 1,(N/A),https://www.youtube.com/results?search_query=Various-Folk%20Music%20of%20The%20Sahel%20-%20Volume%201
10,Wassoulou,Various,The Wassoulou Sound - Women of Mali,(1991),https://www.youtube.com/results?search_query=Various-The%20Wassoulou%20Sound%20-%20Women%20of%20Mali
11,Wolof,Various,Wolof Music of Senegal and the Gambia,(1955),https://www.youtube.com/results?search_query=Various-Wolof%20Music%20of%20Senegal%20and%20the%20Gambia
